t, eta
4.666666666666666430e+01,-1.738904853350005733e-02
4.672672672672672434e+01,2.773336002586874668e-02
4.678678678678678438e+01,6.925269641806360010e-02
4.684684684684684441e+01,1.069561746661147617e-01
4.690690690690690445e+01,1.407532778218593683e-01
4.696696696696696449e+01,1.706646131531501243e-01
4.702702702702702453e+01,1.968069394767565372e-01
4.708708708708708457e+01,2.193752303636533063e-01
4.714714714714714461e+01,2.386227481012851426e-01
4.720720720720720465e+01,2.548401665612499145e-01
4.726726726726726469e+01,2.683347941887919141e-01
4.732732732732732472e+01,2.794109112954894503e-01
4.738738738738738476e+01,2.883521511609099530e-01
4.744744744744744480e+01,2.954067268290831993e-01
4.750750750750750484e+01,3.007761416079952066e-01
4.756756756756756488e+01,3.046078294887712978e-01
4.762762762762762492e+01,3.069919615856785411e-01
4.768768768768768496e+01,3.079624366248518430e-01
4.774774774774774500e+01,3.075018581271130036e-01
4.780780780780780503e+01,3.055500986475365721e-01
4.786786786786786507e+01,3.020158719370203970e-01
4.792792792792792511e+01,2.967905856751414384e-01
4.798798798798798515e+01,2.897636373983858427e-01
4.804804804804804519e+01,2.808382494220957315e-01
4.810810810810810523e+01,2.699469178017485094e-01
4.816816816816816527e+01,2.570655763204694466e-01
4.822822822822822530e+01,2.422256474790913383e-01
4.828828828828828534e+01,2.255232646784612882e-01
4.834834834834834538e+01,2.071250974281295398e-01
4.840840840840840542e+01,1.872703870076912747e-01
4.846846846846846546e+01,1.662689947572961180e-01
4.852852852852852550e+01,1.444954694087560998e-01
4.858858858858858554e+01,1.223793435084335052e-01
4.864864864864864558e+01,1.003920620295631339e-01
4.870870870870870561e+01,7.903111928978306944e-02
4.876876876876876565e+01,5.880212486204856870e-02
4.882882882882882569e+01,4.019962829658965675e-02
4.888888888888888573e+01,2.368760091163966616e-02
4.894894894894894577e+01,9.680497410864054297e-03
4.900900900900900581e+01,-1.474200455620828772e-03
4.906906906906906585e+01,-9.511120466758357303e-03
4.912912912912912589e+01,-1.425908425725937179e-02
4.918918918918918592e+01,-1.564954770073938642e-02
4.924924924924924596e+01,-1.372097510838407239e-02
4.930930930930930600e+01,-8.618914859080888113e-03
4.936936936936936604e+01,-5.917451098083934642e-04
4.942942942942942608e+01,1.001773930091268139e-02
4.948948948948948612e+01,2.278453353617963806e-02
4.954954954954954616e+01,3.721688141978291703e-02
4.960960960960960620e+01,5.277429426867322193e-02
4.966966966966966623e+01,6.888732129664121295e-02
4.972972972972972627e+01,8.497818514371130449e-02
4.978978978978978631e+01,1.004813608664879288e-01
